,true_model_idx,pmp1,pmp2,pmp3
163,1,0.2689534485642656,0.5644823564622392,0.166564194973495
164,1,0.2895677390335435,0.5832196817774763,0.12721257918898024
165,1,0.8607980838833447,0.1392019157717605,3.4489483946843827e-10
166,1,0.3552450061869639,0.6057572625325527,0.03899773128048335
167,1,0.42836815254146393,0.5659939999599175,0.0056378474986184725
168,1,0.5289874138993278,0.4707503050358682,0.00026228106480397366
169,1,0.99899742311984,0.0010025768801599979,1.0932622236027348e-27
170,1,0.737044270135376,0.26295553642802133,1.934366026650965e-07
171,1,0.7027299606415521,0.2972692902663356,7.49092112210533e-07
172,1,0.517785216462526,0.48184300519114565,0.0003717783463283788
173,1,0.19631190299946916,0.4657529596141218,0.3379351373864091
174,1,0.2795047926512469,0.574680020014894,0.14581518733385915
175,1,0.5010047518287257,0.4983701355339096,0.0006251126373648081
176,1,0.7823025875294789,0.21769738580150608,2.6669015038024428e-08
177,1,0.4842585642713945,0.5146950129320821,0.0010464227965234928
178,1,0.6290429443999339,0.37094667980248325,1.0375797582752813e-05
179,1,0.887344236316815,0.11265576363380037,4.9384648136372165e-11
180,1,0.46196637159941206,0.5359682259241558,0.0020654024764321047
181,1,0.38758168432062,0.594730391918893,0.017687923760487195
182,1,0.8149434305249789,0.1850565642292213,5.245799976842346e-09
183,1,0.45639159006332636,0.541163431627144,0.0024449783095294997
184,1,0.5570035706637628,0.4428877316470464,0.00010869768919084996
185,1,0.43962361444010223,0.5563333978412726,0.004042987718625227
186,1,0.3332493784703556,0.6050594465101035,0.06169117501954108
187,1,0.5570035706637628,0.4428877316470464,0.00010869768919084996
188,1,0.34818730235653306,0.6063014640841559,0.04551123355931094
189,1,0.40544637365547104,0.5836711847988204,0.010882441545708556
190,1,0.40544637365547104,0.5836711847988204,0.010882441545708556
191,1,0.517785216462526,0.48184300519114565,0.0003717783463283788
192,1,0.7907710999914307,0.20922888218668131,1.7821887927646657e-08
193,1,0.2689534485642656,0.5644823564622392,0.166564194973495
194,1,0.2895677390335435,0.5832196817774763,0.12721257918898024
195,1,0.6452868414329136,0.3547071989179487,5.959649137765713e-06
196,1,0.1311545352342842,0.3442407527522914,0.5246047120134245
197,1,0.6015818501056611,0.39839227728428916,2.5872610049760757e-05
198,1,0.340866226785813,0.6061019076522937,0.053031865561893356
199,1,0.0519644967015819,0.15998111404044235,0.7880543892579758
200,1,0.6822834367501952,0.3177149588297991,1.6044200058252761e-06
201,1,0.5401956804019077,0.4596196507749894,0.00018466882310306599
202,1,0.0858278219307239,0.2440544519379657,0.6701177261313104
203,1,0.5121881876371523,0.4873695069135074,0.00044230544934035365
204,1,0.6290429443999339,0.37094667980248325,1.0375797582752813e-05
205,1,0.20930607190706998,0.4865902359651955,0.3041036921277347
206,1,0.5904927419015006,0.40947010414480967,3.715395368971715e-05
207,1,0.9527915749844988,0.04720842501547542,2.5641495049276226e-14
208,1,0.3552450061869639,0.6057572625325527,0.03899773128048335
209,1,0.2895677390335435,0.5832196817774763,0.12721257918898024
210,1,0.8818032815160479,0.11819671840756545,7.638667177738401e-11
211,1,0.5514029068507447,0.4484673272556441,0.0001297658936113896
212,1,0.43962361444010223,0.5563333978412726,0.004042987718625227
213,1,0.42836815254146393,0.5659939999599175,0.0056378474986184725
214,1,0.3814240005283223,0.5978144413528939,0.02076155811878381
215,1,0.7417786361691368,0.258221204763767,1.5906709627323036e-07
216,1,0.1072500409871125,0.2930225814727653,0.5997273775401223
217,1,0.3332493784703556,0.6050594465101035,0.06169117501954108
218,1,0.3814240005283223,0.5978144413528939,0.02076155811878381
219,1,0.6718590390876064,0.32813862043267855,2.3404797151167445e-06
220,1,0.9207308822840786,0.07926911771374688,2.1745884910889265e-12
221,1,0.03431950820278215,0.11209902760194815,0.8535814641952696
222,1,0.0858278219307239,0.2440544519379657,0.6701177261313104
223,1,0.6770870488074499,0.3229110128615465,1.93833100361136e-06
224,1,0.4954188636948138,0.5038385349538447,0.0007426013513415167
225,1,0.9471471591613697,0.05285284083856361,6.662279521645926e-14
226,1,0.34818730235653306,0.6063014640841559,0.04551123355931094
227,1,0.6770870488074499,0.3229110128615465,1.93833100361136e-06
228,1,0.32530321383858357,0.6030664669965878,0.07163031916482863
