,idx,true_model,alpha_1,alpha_2,alpha_3
0,1,1,12.297085,1.127658,1.1837496
1,2,2,1.0,1.2360027,1.8893893
2,3,2,1.0,16.042149,11.98449
3,4,3,1.0,22.562532,36.081673
4,5,2,2.0698714,5.9120665,4.0143104
5,6,1,1.4702445,4.0181746,4.8484783
6,7,2,13.51649,1.0479395,1.106729
7,8,2,1.0,1.0745201,1.0037285
8,9,3,1.0,3.0254488,19.51795
9,10,1,4.1492014,3.3897457,2.5117834
10,11,2,1.0,24.467293,21.542673
11,12,1,12.491579,1.2661247,1.1177012
12,13,1,10.112314,1.2126837,1.4728093
13,14,3,1.008015,9.310766,6.2744436
14,15,3,1.0,25.512625,24.179401
15,16,3,1.0,1.7512654,1.8694377
16,17,1,9.329507,1.7331657,1.4862639
17,18,2,1.0,13.048965,12.0107975
18,19,2,1.0030304,6.46031,5.994967
19,20,3,5.840183,3.3919008,2.5318532
20,21,2,1.0,14.172501,10.801986
21,22,2,1.0,1.9536735,1.4801338
22,23,3,10.4561405,1.4986053,1.2760546
23,24,2,1.0,12.60363,12.438555
24,25,3,1.0,1.1555395,1.4579294
25,26,1,11.758651,1.0938566,1.5590613
26,27,2,1.0,14.098151,11.009832
27,28,3,1.0,24.354023,39.96451
28,29,2,1.0,1.3360977,1.8552611
29,30,3,1.0,22.931612,21.218784
30,31,1,7.995048,1.1471527,3.2470572
31,32,1,11.605817,1.2890445,1.2856592
32,33,3,1.0,2.460521,19.074392
33,34,1,6.1868997,1.3767474,2.404888
34,35,1,1.0609039,3.8290386,3.1779168
35,36,1,9.015633,1.888582,1.4993899
36,37,3,1.0,12.525881,11.176742
37,38,2,1.000018,13.165927,9.535316
38,39,1,8.586936,1.8445547,1.4883739
39,40,2,1.0,15.3632145,16.37487
40,41,3,1.0,1.4359064,19.170277
41,42,2,1.0,12.509736,13.276858
42,43,2,1.0,13.49845,12.487946
43,44,1,1.0,1.1958266,1.0080832
44,45,1,7.5838103,1.505309,2.0042224
45,46,1,13.708802,1.0660813,1.044153
46,47,2,1.0,13.392858,10.924284
47,48,3,1.0,14.002867,12.426381
48,49,3,1.0,17.624445,16.657427
49,50,3,1.0,1.5620824,19.686848
50,51,2,1.0,26.37118,68.53303
51,52,1,9.62746,1.5486147,1.5358348
52,53,1,12.4100895,1.2123631,1.0820382
53,54,1,2.9182153,3.3914175,2.5291026
54,55,3,3.5007687,2.5915704,4.8495255
55,56,2,1.0,1.4358082,1.7020092
56,57,2,1.0,14.846746,10.373071
57,58,3,1.0,1.1368436,20.779972
58,59,1,10.539467,1.3827472,1.2729373
59,60,3,1.0052006,6.3212447,5.8203793
60,61,3,1.0,3.0937035,1.0884141
61,62,2,1.0,31.692003,41.994473
62,63,1,8.534691,1.3241712,2.0691948
63,64,2,1.0,8.660874,11.150447
64,65,2,1.0,12.973166,10.458439
65,66,2,1.0,1.5026088,1.1121545
66,67,1,12.52103,1.1624397,1.1026689
67,68,3,1.2666925,5.234873,5.607042
68,69,3,1.0,6.9923024,15.01047
69,70,2,1.0000205,11.002552,10.875845
70,71,1,1.0,1.2636375,1.1579192
71,72,2,1.0,14.423288,11.330969
72,73,1,12.577039,1.079494,1.1000062
73,74,1,11.489362,1.1296402,1.2778056
74,75,3,1.0,19.680143,18.207489
75,76,2,1.0,21.322748,35.904404
76,77,3,1.0,14.173061,11.1587715
77,78,1,12.460375,1.1736956,1.1291635
78,79,2,12.9667425,1.1225998,1.1068523
79,80,3,1.0,3.0304945,16.346899
80,81,3,1.0,13.289769,8.4741335
81,82,1,1.0,1.0787009,1.0107905
82,83,3,1.0,14.096872,11.755967
83,84,2,1.0,13.183328,11.172388
84,85,1,10.974979,1.0507089,2.1137385
85,86,1,11.581379,1.442702,1.1197106
86,87,2,1.0000721,9.479463,9.045901
87,88,1,13.387816,1.1416582,1.0461909
88,89,2,6.058927,1.626688,2.5590932
89,90,3,1.0001535,8.381389,7.291382
90,91,3,1.0,1.4425428,5.0933437
91,92,1,10.925001,1.0566294,1.8722678
92,93,1,3.9364526,2.9944735,2.5582733
93,94,3,1.0,23.110819,20.842983
94,95,3,1.0,25.42935,37.43796
95,96,1,12.5158415,1.1577022,1.1565679
96,97,3,1.0,1.0424187,8.654663
97,98,2,1.0,15.534254,10.582008
98,99,2,1.0,30.762442,48.23296
99,100,1,8.418537,1.9125288,1.2065169
100,101,1,1.0,1.4484015,1.008077
101,102,2,1.0,15.114456,10.753275
102,103,1,11.45259,1.0876913,1.4155877
103,104,2,1.0,1.5638213,1.0155059
104,105,1,3.9384093,1.8826102,1.7915754
105,106,3,3.8034182,3.46129,4.10902
106,107,1,9.078832,1.2928128,1.2038255
107,108,1,10.675,1.2360082,1.4239002
108,109,3,1.0,9.396376,14.152739
109,110,3,1.0,1.0403247,8.255018
110,111,2,1.0,15.6193,10.515804
111,112,2,1.0,2.42974,1.2336123
112,113,3,1.0,14.478196,14.315177
113,114,3,1.0,15.626188,11.65674
114,115,2,1.0,2.2448936,1.2285199
115,116,1,14.088361,1.0482857,1.0425029
116,117,3,1.0,20.675955,36.379314
117,118,1,10.6995535,1.3464495,1.2905463
118,119,1,12.101905,1.371957,1.0794573
119,120,2,1.0,1.014936,1.0018094
120,121,1,7.046526,2.2846541,1.589968
