,idx,true_model,alpha_1,alpha_2,alpha_3
121,122,2,1.0,1.0868211,3.527636
122,123,1,11.346678,1.1463273,1.2818977
123,124,2,1.0,1.1799356,1.7610245
124,125,2,1.0,15.969386,10.984907
125,126,1,6.543331,1.6842282,2.015161
126,127,1,1.0,1.3759687,1.0151657
127,128,3,1.0,17.930525,28.144913
128,129,2,1.0,1.2524817,1.0199033
129,130,1,8.626196,1.7988586,1.4203587
130,131,2,1.0006026,9.072089,7.1016254
131,132,2,2.4548326,3.68287,2.55861
132,133,2,1.0172126,6.8426256,4.8622885
133,134,3,1.0,1.150549,1.9503088
134,135,3,1.0,1.0086057,1.0004036
135,136,1,13.879992,1.06368,1.0257338
136,137,1,1.0,1.83161,1.0163496
137,138,2,1.000002,11.001251,9.1300125
138,139,2,1.0,16.231411,11.554792
139,140,3,1.0,1.0445334,8.925201
140,141,3,1.0000067,9.779444,9.970604
141,142,3,1.0,12.837063,12.552244
142,143,2,1.0,2.8024986,1.2010815
143,144,1,12.261508,1.0284708,1.359107
144,145,3,1.0,1.2951293,3.2909775
145,146,2,1.0,1.11573,1.0081807
146,147,2,1.0000265,9.635949,8.845047
147,148,2,1.0,1.1003344,1.0051241
148,149,1,11.803833,1.379353,1.1355581
149,150,3,1.0000011,12.336959,9.830072
150,151,3,1.0,1.04566,9.029407
151,152,3,1.0,14.72362,11.96937
152,153,1,12.393947,1.1561415,1.1054256
153,154,2,1.0,5.6829257,1.8303657
154,155,2,1.0000261,8.312641,7.731556
155,156,3,1.0000004,12.379156,8.9638195
156,157,3,1.0,10.708706,13.252608
157,158,2,1.0,23.540533,21.469673
158,159,2,1.0,15.508701,11.429838
159,160,1,5.840865,1.4577758,1.128099
160,161,2,1.0,4.5517406,17.566393
161,162,2,1.0000153,13.432285,9.800722
162,163,1,12.020329,1.3654263,1.0904608
163,164,1,1.0,1.1544673,1.4157445
164,165,2,1.0,19.928461,15.644248
165,166,3,1.0001385,1.0025028,1.0015491
166,167,2,1.0,1.9826634,1.0251169
167,168,3,12.573838,1.3021595,1.1173655
168,169,2,1.0,14.057273,11.544171
169,170,2,1.0,12.088845,12.416791
170,171,3,1.0206091,8.820073,6.375727
171,172,2,1.0,18.616804,18.226948
172,173,1,11.378611,1.1273521,1.570757
173,174,2,1.0,2.794118,1.1179312
174,175,1,11.405568,1.2376385,1.4586824
175,176,1,9.782243,1.486946,1.122852
176,177,2,1.0,16.03073,11.554939
177,178,1,1.0,1.0369118,1.0020484
178,179,1,11.699773,1.1733048,1.2819757
179,180,2,1.0,1.4156713,1.0076721
180,181,1,1.0,1.5588719,1.0391842
181,182,1,1.0,1.0500838,4.1490774
182,183,3,1.0,14.298113,11.998043
183,184,2,1.0,15.947889,10.744103
184,185,1,11.460679,1.3310442,1.146005
185,186,1,13.760503,1.0465362,1.1141787
186,187,3,1.0,17.185625,14.538286
187,188,3,1.0,1.0858693,5.4081883
188,189,2,1.0,1.1709622,1.0065209
189,190,2,1.0015217,7.074217,5.7261534
190,191,2,1.0,11.61005,12.491446
191,192,1,12.63499,1.1046915,1.1847553
192,193,2,1.0,20.173197,18.285814
193,194,1,10.973321,1.1314743,1.8224733
194,195,1,1.0,1.6944518,1.0134122
195,196,2,1.0,14.859248,11.162332
196,197,2,1.0,9.357214,14.0306835
197,198,1,12.96483,1.0960495,1.0609013
198,199,3,1.006446,6.7686067,7.2654157
199,200,2,1.0,25.45659,23.86799
